row_type,experiment_id,method_id,method_label,dataset,particle,modalities,fusion_mode,split,accuracy,macro_f1,mae_argmax,source_file,notes,handcrafted_features,val_baseline_accuracy,importance_mean,importance_std,seed,handcrafted_source_modalities,val_accuracy,val_mae_argmax,val_macro_f1,test_accuracy,test_mae_argmax,test_macro_f1
cnn_feature_fusion,A5c,geometry_lowcorr,Geometry low-correlation features,Alpha_100,alpha,ToT,gated,,,,,outputs/a5c_alpha_handcrafted_gated_seed42_runs.csv,test is report-only; use validation for any selection,active_pixel_count;bbox_fill_ratio,,,,42,ToT+ToA,0.6863136863136863,6.578421578421579,0.6060778505266899,0.709741550695825,5.859840954274354,0.6278115361846008
cnn_feature_fusion,A5c,geometry_plus_tot_density,Geometry + ToT density features,Alpha_100,alpha,ToT,gated,,,,,outputs/a5c_alpha_handcrafted_gated_seed42_runs.csv,test is report-only; use validation for any selection,active_pixel_count;bbox_fill_ratio;ToT_density,,,,42,ToT+ToA,0.6893106893106893,6.368631368631369,0.6105201555470776,0.7087475149105368,5.859840954274354,0.635239274928296
cnn_feature_fusion,A5c,toa_only_diag,ToA-only diagnostic handcrafted features,Alpha_100,alpha,ToT,gated,,,,,outputs/a5c_alpha_handcrafted_gated_seed42_runs.csv,test is report-only; use validation for any selection,ToA_span;ToA_major_axis_corr_abs,,,,42,ToT+ToA,0.7102897102897103,6.083916083916084,0.6565655283494468,0.6998011928429424,5.964214711729622,0.639188954849719
cnn_feature_fusion,A5c,main_5feat,5 handcrafted physical features,Alpha_100,alpha,ToT,gated,,,,,outputs/a5c_alpha_handcrafted_gated_seed42_runs.csv,test is report-only; use validation for any selection,active_pixel_count;bbox_fill_ratio;ToT_density;ToA_span;ToA_major_axis_corr_abs,,,,42,ToT+ToA,0.7052947052947053,6.128871128871129,0.6471253023120159,0.7107355864811133,5.651093439363817,0.6520449241041211
cnn_feature_fusion,A5d,main_5feat,5 handcrafted physical features,Alpha_100,alpha,ToT,gated,,,,,outputs/a5d_alpha_handcrafted_gated_3seed_runs.csv,test is report-only; use validation for any selection,active_pixel_count;bbox_fill_ratio;ToT_density;ToA_span;ToA_major_axis_corr_abs,,,,42,ToT+ToA,0.7052947052947053,6.128871128871129,0.6471253023120159,0.7107355864811133,5.651093439363817,0.6520449241041211
cnn_feature_fusion,A5d,main_5feat,5 handcrafted physical features,Alpha_100,alpha,ToT,gated,,,,,outputs/a5d_alpha_handcrafted_gated_3seed_runs.csv,test is report-only; use validation for any selection,active_pixel_count;bbox_fill_ratio;ToT_density;ToA_span;ToA_major_axis_corr_abs,,,,43,ToT+ToA,0.7022977022977023,6.203796203796204,0.6598395264631794,0.6918489065606361,6.113320079522863,0.6436993683049874
cnn_feature_fusion,A5d,main_5feat,5 handcrafted physical features,Alpha_100,alpha,ToT,gated,,,,,outputs/a5d_alpha_handcrafted_gated_3seed_runs.csv,test is report-only; use validation for any selection,active_pixel_count;bbox_fill_ratio;ToT_density;ToA_span;ToA_major_axis_corr_abs,,,,44,ToT+ToA,0.6993006993006993,6.293706293706293,0.644705136135001,0.7027833001988072,5.859840954274354,0.6425049406805778
cnn_feature_fusion,A5d,toa_only_diag,ToA-only diagnostic handcrafted features,Alpha_100,alpha,ToT,gated,,,,,outputs/a5d_alpha_handcrafted_gated_3seed_runs.csv,test is report-only; use validation for any selection,ToA_span;ToA_major_axis_corr_abs,,,,42,ToT+ToA,0.7102897102897103,6.083916083916084,0.6565655283494468,0.6998011928429424,5.964214711729622,0.639188954849719
cnn_feature_fusion,A5d,toa_only_diag,ToA-only diagnostic handcrafted features,Alpha_100,alpha,ToT,gated,,,,,outputs/a5d_alpha_handcrafted_gated_3seed_runs.csv,test is report-only; use validation for any selection,ToA_span;ToA_major_axis_corr_abs,,,,43,ToT+ToA,0.7062937062937062,6.158841158841159,0.6458960756332445,0.7027833001988072,5.964214711729622,0.6398048536304071
cnn_feature_fusion,A5d,toa_only_diag,ToA-only diagnostic handcrafted features,Alpha_100,alpha,ToT,gated,,,,,outputs/a5d_alpha_handcrafted_gated_3seed_runs.csv,test is report-only; use validation for any selection,ToA_span;ToA_major_axis_corr_abs,,,,44,ToT+ToA,0.7042957042957043,6.143856143856143,0.6490314637053767,0.6988071570576541,5.949304174950298,0.6439077691529672
cnn_feature_fusion,B2a,geometry_lowcorr,Geometry low-correlation features,Proton_C_7,proton,ToT,concat,,,,,outputs/b2_proton_c7_handcrafted_lowcorr_seed42_runs.csv,test is report-only; use validation for any selection,active_pixel_count;bbox_fill_ratio,,,,42,ToT,0.9427599611273081,0.5476190476190477,0.9582061374604844,0.9426157879405768,0.5447130789397029,0.9585627941876981
cnn_feature_fusion,B2a,geometry_plus_tot_density,Geometry + ToT density features,Proton_C_7,proton,ToT,concat,,,,,outputs/b2_proton_c7_handcrafted_lowcorr_seed42_runs.csv,test is report-only; use validation for any selection,active_pixel_count;bbox_fill_ratio;ToT_density,,,,42,ToT,0.9142857142857143,0.8464528668610302,0.9370973651138151,0.916302553645985,0.8073599378580445,0.9390570077899083
cnn_feature_fusion,B2b,geometry_lowcorr,Geometry low-correlation features,Proton_C_7,proton,ToT,gated,,,,,outputs/b2_proton_c7_handcrafted_gated_seed42_runs.csv,test is report-only; use validation for any selection,active_pixel_count;bbox_fill_ratio,,,,42,ToT,0.9420796890184645,0.5451895043731778,0.9578207118606156,0.9417419166909409,0.5539372754636372,0.9579260550831368
cnn_feature_fusion,B2b,geometry_plus_tot_density,Geometry + ToT density features,Proton_C_7,proton,ToT,gated,,,,,outputs/b2_proton_c7_handcrafted_gated_seed42_runs.csv,test is report-only; use validation for any selection,active_pixel_count;bbox_fill_ratio;ToT_density,,,,42,ToT,0.9421768707482994,0.5495626822157434,0.9580838680275247,0.9412564326633653,0.5612195358772697,0.9582562518540889
