experiment_id,method_id,method_label,seed,dataset,split,class_index,class_angle,n,precision,recall,f1,source_file,notes
A2-best,alpha_tot_resnet18_no_maxpool_baseline,Alpha ToT baseline: ResNet18 no maxpool,44,Alpha_100,val,0,15,350,0.6764705882352942,0.7885714285714286,0.7282321899736149,outputs/experiments/a2_best_3seed/20260428_141222_a2_best_alpha_resnet18_tot_3seed_003_training.seed-44/metrics.json,formal Alpha baseline
A2-best,alpha_tot_resnet18_no_maxpool_baseline,Alpha ToT baseline: ResNet18 no maxpool,44,Alpha_100,val,1,30,144,0.5818181818181818,0.2222222222222222,0.32160804020100503,outputs/experiments/a2_best_3seed/20260428_141222_a2_best_alpha_resnet18_tot_3seed_003_training.seed-44/metrics.json,formal Alpha baseline
A2-best,alpha_tot_resnet18_no_maxpool_baseline,Alpha ToT baseline: ResNet18 no maxpool,44,Alpha_100,val,2,45,352,0.7328042328042328,0.7869318181818182,0.7589041095890412,outputs/experiments/a2_best_3seed/20260428_141222_a2_best_alpha_resnet18_tot_3seed_003_training.seed-44/metrics.json,formal Alpha baseline
A2-best,alpha_tot_resnet18_no_maxpool_baseline,Alpha ToT baseline: ResNet18 no maxpool,44,Alpha_100,val,3,60,155,0.65625,0.6774193548387096,0.6666666666666667,outputs/experiments/a2_best_3seed/20260428_141222_a2_best_alpha_resnet18_tot_3seed_003_training.seed-44/metrics.json,formal Alpha baseline
A2-best,alpha_tot_resnet18_no_maxpool_baseline,Alpha ToT baseline: ResNet18 no maxpool,44,Alpha_100,test,0,15,351,0.6964705882352941,0.8433048433048433,0.7628865979381442,outputs/experiments/a2_best_3seed/20260428_141222_a2_best_alpha_resnet18_tot_3seed_003_training.seed-44/metrics.json,formal Alpha baseline
A2-best,alpha_tot_resnet18_no_maxpool_baseline,Alpha ToT baseline: ResNet18 no maxpool,44,Alpha_100,test,1,30,145,0.6274509803921569,0.2206896551724138,0.32653061224489793,outputs/experiments/a2_best_3seed/20260428_141222_a2_best_alpha_resnet18_tot_3seed_003_training.seed-44/metrics.json,formal Alpha baseline
A2-best,alpha_tot_resnet18_no_maxpool_baseline,Alpha ToT baseline: ResNet18 no maxpool,44,Alpha_100,test,2,45,354,0.7398373983739838,0.7711864406779662,0.7551867219917013,outputs/experiments/a2_best_3seed/20260428_141222_a2_best_alpha_resnet18_tot_3seed_003_training.seed-44/metrics.json,formal Alpha baseline
A2-best,alpha_tot_resnet18_no_maxpool_baseline,Alpha ToT baseline: ResNet18 no maxpool,44,Alpha_100,test,3,60,156,0.6583850931677019,0.6794871794871795,0.6687697160883281,outputs/experiments/a2_best_3seed/20260428_141222_a2_best_alpha_resnet18_tot_3seed_003_training.seed-44/metrics.json,formal Alpha baseline
A4b-5,primary_only,primary_only,42,Alpha_100,val,0,15.0,350,0.6921119592875318,0.7771428571428571,0.7321668909825034,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
A4b-5,primary_only,primary_only,42,Alpha_100,val,1,30.0,144,0.5223880597014925,0.24305555555555555,0.33175355450236965,outputs/a4b_5_gated_late_fusion_seed42_by_class.csv,A4b prediction-level fusion per-class result
