experiment_id,method_id,method_label,seed,dataset,particle,modalities,model,fusion_mode,loss,label_encoding,handcrafted_features,best_epoch,stopped_epoch,max_epochs,early_stopped,val_accuracy,val_mae_argmax,val_p90_error,val_macro_f1,val_high_angle_macro_f1,val_far_error_rate_abs_ge_20,test_accuracy,test_mae_argmax,test_p90_error,test_macro_f1,test_high_angle_macro_f1,test_far_error_rate_abs_ge_20,source_file,notes
A4b-5,candidate_only,candidate_only,44,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,selector,cross_entropy,onehot,,,,,,0.6773226773226774,7.192807192807193,30.0,0.6028886874699004,,,0.6908548707753479,6.545725646123261,30.0,0.6073550898334099,,,outputs/a4b_5_gated_late_fusion_seed44_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4b-5,oracle,oracle,44,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,selector,cross_entropy,onehot,,,,,,0.7542457542457542,5.004995004995005,15.0,0.6929714436189474,,,0.7763419483101391,4.547713717693837,15.0,0.7113442863360104,,,outputs/a4b_5_gated_late_fusion_seed44_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4b-5,a4b5d_class_aware_prob_train,a4b5d_class_aware_prob_train,44,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,selector,cross_entropy,onehot,,,,,,0.7042957042957043,6.428571428571429,30.0,0.6392674267356762,,,0.7296222664015904,5.546719681908549,15.0,0.6653779874367259,,,outputs/a4b_5_gated_late_fusion_seed44_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4b-5,a4b5d_class_aware_prob_val-cv,a4b5d_class_aware_prob_val-cv,44,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,selector,cross_entropy,onehot,,,,,,0.7072927072927073,6.248751248751248,30.0,0.633943727564701,,,0.7127236580516899,5.8747514910536776,15.0,0.639486576371358,,,outputs/a4b_5_gated_late_fusion_seed44_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4b-6,primary_only,primary_only,42,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,residual_selector,cross_entropy,onehot,,,,,,0.6953046953046953,6.278721278721279,15.0,0.629800414914842,,,0.7047713717693836,5.964214711729622,15.0,0.6461281543197821,,,outputs/a4b_6_residual_gated_fusion_seed42_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4b-6,candidate_only,candidate_only,42,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,residual_selector,cross_entropy,onehot,,,,,,0.6713286713286714,6.848151848151848,30.0,0.6335029439438923,,,0.6709741550695825,6.858846918489066,30.0,0.6350540573628196,,,outputs/a4b_6_residual_gated_fusion_seed42_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4b-6,oracle,oracle,42,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,residual_selector,cross_entropy,onehot,,,,,,0.7972027972027972,3.986013986013986,15.0,0.7653343841885725,,,0.8151093439363817,3.697813121272366,15.0,0.7835261331207243,,,outputs/a4b_6_residual_gated_fusion_seed42_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4b-6,a4b6b_per_class_beta_grid,a4b6b_per_class_beta_grid,42,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,residual_selector,cross_entropy,onehot,,,,,,0.7222777222777222,5.769230769230769,15.0,0.687624296292543,,,0.7027833001988072,5.889662027833002,15.0,0.6612162546459797,,,outputs/a4b_6_residual_gated_fusion_seed42_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4b-6,a4b6e_entropy_residual_t0p1_k5_b0p5,a4b6e_entropy_residual_t0p1_k5_b0p5,42,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,residual_selector,cross_entropy,onehot,,,,,,0.7042957042957043,6.188811188811189,15.0,0.6448699219474993,,,0.7206759443339961,5.636182902584493,15.0,0.6583234845824488,,,outputs/a4b_6_residual_gated_fusion_seed42_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
A4b-6,primary_only,primary_only,43,Alpha_100,alpha,ToT+ToA,late_prediction_fusion,residual_selector,cross_entropy,onehot,,,,,,0.6863136863136863,6.518481518481519,30.0,0.6167797776871942,,,0.705765407554672,5.8747514910536776,15.0,0.634545987717875,,,outputs/a4b_6_residual_gated_fusion_seed43_summary.csv,A4b prediction-level fusion summary; primary_only is A2 baseline reference
